= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear
MuonRecoResFD                 (-1) | -9.44        | 0.0239    | -9.06     | -0.169      | 0.0106    | -1.09     | -0.00604  | 0.844     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.844
MaCCQE                        ( 1) | 7.06         | -0.122    | 5.67      | 1.15        | 0.0297    | 0         | 0.0168    | 0.311     | -0.276    | -0.158    | -0.158    | -0.158    | -0.401    | -0.925    | 0.366     | 0.931
ChargedHadRecoUncorrInvSqrtFD (-1) | 4.84         | 0.00688   | 0.746     | 0.681       | 0.0111    | 0.334     | 0.187     | 2.87      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 2.87
RecoEnergyInvSqrtFD           (-1) | 4.34         | 0.0151    | 0.347     | 0.685       | 0.0155    | 0.334     | 0.0839    | 2.86      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 2.86
ERecoScaleMuLArInvSqrtND      ( 1) | 3.09         | 0         | 0         | 0           | 0         | 0         | 0         | 3.09      | 0.0444    | 0         | 0         | 0         | 3.04      | 0         | 0         | 0
ChargedHadRecoUncorrFD        (-1) | 2.99         | 0.0017    | 0.587     | 0.343       | 0.00751   | 0.211     | 0.101     | 1.74      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 1.74
EMRecoUncorrInvSqrtFD         (-1) | 2.82         | 0.0156    | 0.0628    | 0.434       | 0.0136    | 0.228     | 2.94e-06  | 2.07      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 2.07
RecoEnergyScaleFD             (-1) | 2.7          | 0.00625   | 0.331     | 0.353       | 0.0146    | 0.211     | 1.52e-05  | 1.79      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 1.79
ChargedHadRecoUncorrInvSqrtND ( 1) | 2.69         | 0         | 0         | 0           | 0         | 0         | 0         | 2.69      | 0.0293    | 0.141     | 1.83e-05  | 0         | 2.51      | 0         | 0         | 0
ERecoScaleMuLArND             ( 1) | 2.44         | 0         | 0         | 0           | 0         | 0         | 0         | 2.44      | 0.0386    | 0         | 0         | 0         | 2.39      | 0         | 0         | 0
nuenumu_xsec_ratio            (-1) | 2.18         | -0.243    | 0         | 0.337       | 0.00658   | 0         | 0         | 2.08      | 3.2       | 3.2       | 3.2       | 3.2       | 3.2       | 3.2       | 1.88      | 3.4
flux_Nov17_13                 ( 1) | 1.98         | -0.0813   | 1.11      | 0.936       | 0.0265    | 0.344     | 0.0699    | -0.424    | -0.147    | -0.0888   | -0.000326 | -0.16     | -0.0351   | -0.148    | 0.0899    | 0.0639
EMRecoUncorrFD                ( 1) | -1.9         | -0.0148   | -0.00696  | -0.343      | -0.00673  | -0.176    | -3.53e-07 | -1.36     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -1.36
BeRPA_D                       (-1) | -1.88        | 0.00623   | -1.48     | -0.272      | -0.00601  | 0         | -0.0026   | -0.123    | 0.0625    | 0.0452    | 0.0452    | 0.0452    | 0.104     | 0.223     | -0.0798   | -0.251
ERecoScaleMuLArSqrtND         ( 1) | 1.85         | 0         | 0         | 0           | 0         | 0         | 0         | 1.85      | 0.0415    | 0         | 0         | 0         | 1.8       | 0         | 0         | 0
EMRecoResFD                   ( 1) | -1.84        | 0.187     | 0.0271    | -0.528      | -0.00655  | 0.0176    | 1.12e-06  | -1.54     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -1.54
MvCCRES                       ( 1) | 1.76         | -0.00762  | 1.22      | 0.273       | 0.00767   | 0         | 0.0514    | 0.213     | -0.0407   | -0.0176   | -0.0176   | -0.0176   | 0.0237    | 0.617     | -0.199    | -0.253
ChargedHadRecoUncorrSqrtFD    ( 1) | -1.69        | -0.00689  | -0.362    | -0.264      | 0         | -0.0702   | -1.78e-05 | -0.986    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.986
